,코드,시도,시군구,읍면동,하위,위도,경도,코드종류
327,1162063000,서울특별시,관악구,남현동,,37.464115,126.977754,H
328,1162064500,서울특별시,관악구,서원동,,37.479662,126.931311,H
329,1162065500,서울특별시,관악구,신원동,,37.481698,126.927268,H
330,1162066500,서울특별시,관악구,서림동,,37.475037,126.934972,H
331,1162068500,서울특별시,관악구,신사동,,37.485479,126.918044,H
332,1162069500,서울특별시,관악구,신림동,,37.463204,126.935795,H
333,1162071500,서울특별시,관악구,난향동,,37.461554,126.918807,H
334,1162072500,서울특별시,관악구,조원동,,37.482592,126.907808,H
335,1162073500,서울특별시,관악구,대학동,,37.470593,126.936855,H
336,1162074500,서울특별시,관악구,삼성동,,37.470135,126.933007,H
337,1162076500,서울특별시,관악구,미성동,,37.476348,126.915677,H
338,1162077500,서울특별시,관악구,난곡동,,37.471024,126.921689,H
339,1165051000,서울특별시,서초구,서초1동,,37.490077,127.019534,H
340,1165052000,서울특별시,서초구,서초2동,,37.492051,127.025083,H
341,1165053000,서울특별시,서초구,서초3동,,37.483594,127.012518,H
342,1165053100,서울특별시,서초구,서초4동,,37.502624,127.022175,H
343,1165054000,서울특별시,서초구,잠원동,,37.515102,127.009083,H
344,1165055000,서울특별시,서초구,반포본동,,37.50049,126.986012,H
345,1165056000,서울특별시,서초구,반포1동,,37.505136,127.013354,H
346,1165057000,서울특별시,서초구,반포2동,,37.504644,126.994495,H
347,1165058000,서울특별시,서초구,반포3동,,37.512027,127.005572,H
348,1165058100,서울특별시,서초구,반포4동,,37.498651,126.995469,H
349,1165059000,서울특별시,서초구,방배본동,,37.494151,126.988688,H
350,1165060000,서울특별시,서초구,방배1동,,37.483406,126.994486,H
351,1165061000,서울특별시,서초구,방배2동,,37.479887,126.985499,H
352,1165062000,서울특별시,서초구,방배3동,,37.480255,126.999028,H
353,1165062100,서울특별시,서초구,방배4동,,37.489624,126.991383,H
354,1165065100,서울특별시,서초구,양재1동,,37.471701,127.02675,H
355,1165065200,서울특별시,서초구,양재2동,,37.47062,127.041076,H
356,1165066000,서울특별시,서초구,내곡동,,37.458154,127.076727,H
357,1168051000,서울특별시,강남구,신사동,,37.523807,127.026492,H
358,1168052100,서울특별시,강남구,논현1동,,37.511498,127.028552,H
359,1168053100,서울특별시,강남구,논현2동,,37.517353,127.037164,H
360,1168054500,서울특별시,강남구,압구정동,,37.530734,127.028461,H
361,1168056500,서울특별시,강남구,청담동,,37.524399,127.050457,H
362,1168058000,서울특별시,강남구,삼성1동,,37.514315,127.062824,H
363,1168059000,서울특별시,강남구,삼성2동,,37.511399,127.046255,H
364,1168060000,서울특별시,강남구,대치1동,,37.493236,127.056687,H
365,1168061000,서울특별시,강남구,대치2동,,37.502252,127.064162,H
366,1168063000,서울특별시,강남구,대치4동,,37.49975,127.057747,H
367,1168064000,서울특별시,강남구,역삼1동,,37.495361,127.033058,H
368,1168065000,서울특별시,강남구,역삼2동,,37.49604,127.04679,H
369,1168065500,서울특별시,강남구,도곡1동,,37.490945,127.038475,H
